req_id,source_ref,quote_ref,normalized_requirement,type,scope,verifiable,notes
REQ-00011,SRC-01:P000226,0ea51b9c15bbb5b3d3ff58249c038fb592995a7439f391685fd3f4f129aac2f2,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""9. ARCHITECTURAL CONVERGENCE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=9. ARCHITECTURAL CONVERGENCE; disposition=KEEP_GOVERNANCE
REQ-00012,SRC-01:P000251,00bfa3cb55a3d8d59026d1b618a15371a7e075619645836b1714cf477b64abf9,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""10. AUTONOMY VS AUTHORITY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",AUTHORITY_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=10. AUTONOMY VS AUTHORITY; disposition=KEEP_GOVERNANCE
REQ-00013,SRC-01:P000274,410110cf406908d68109b4023c165f8c6f1b830eb115ae47c7dc4fab8961d116,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""11. MODEL INDEPENDENCE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=11. MODEL INDEPENDENCE; disposition=KEEP_GOVERNANCE
REQ-00014,SRC-01:P000284,a530fe08b175146eba90def300f78bf6dfb0f43dba903a7a6e98f401919a0116,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""12. CAPABILITY SYSTEM"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",CAPABILITY_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=12. CAPABILITY SYSTEM; disposition=KEEP_GOVERNANCE
REQ-00015,SRC-01:P000314,88329cf59d26b1c302c77523464105a8180da09291acd26c87bb88944b2e468d,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""13. EVIDENCE-FIRST DESIGN"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",EVIDENCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=13. EVIDENCE-FIRST DESIGN; disposition=KEEP_GOVERNANCE
REQ-00016,SRC-01:P000343,000a31be7bc5b1c1b3bbfc515718ac78dbb601abb8ba4fa79f71c81a5ce33fe9,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""14. RESEARCH VALIDITY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=14. RESEARCH VALIDITY; disposition=KEEP_GOVERNANCE
REQ-00017,SRC-01:P000358,645098d7b4746fde16f128fa80bdd019302dd0d4d4728a9874febec879d24f39,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""15. FAILURE-SAFE OPERATION"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=15. FAILURE-SAFE OPERATION; disposition=KEEP_GOVERNANCE
REQ-00018,SRC-01:P000386,2d95eaa6091055d77ad455c8c60d2783768bceca7d1a790accf8ec4e2e9ee5a7,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""16. COST / RESOURCE CONTROL"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",RESOURCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=16. COST / RESOURCE CONTROL; disposition=KEEP_GOVERNANCE
REQ-00019,SRC-01:P000414,e039795fc06bb0e47728bdf6866368c7231c7d3d57809ff426c24d60a2d17415,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""17. “PERPETUAL FREE OPERATION” AUDIT"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",EVIDENCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=17. “PERPETUAL FREE OPERATION” AUDIT; disposition=KEEP_GOVERNANCE
REQ-00020,SRC-01:P000433,1e221b0ecd7ac8b24f1e2d85a630356c98a766f4ec8f4926f58226c60db8f87b,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""18. PERFORMANCE CLAIMS"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",RESOURCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=18. PERFORMANCE CLAIMS; disposition=KEEP_GOVERNANCE
REQ-00021,SRC-01:P000453,7d63b374f6a39c6cd2c5b61ecdf44dcc397a916c6b3413acd029399375dd23aa,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""19. SECURITY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",SECURITY_CONSTRAINT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=19. SECURITY; disposition=KEEP_GOVERNANCE
REQ-00022,SRC-01:P000473,daef1c99f18969edc817f2371462fc30fadb88e478e8c282cca9189b11c7d70b,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""20. SELF-MODIFICATION"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=20. SELF-MODIFICATION; disposition=KEEP_GOVERNANCE
REQ-00023,SRC-01:P000485,d86821a743bd440f221cd052f8f3146ef0fde22b5d211ecc27c5ac42e1621d68,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""21. STATE MODEL"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",STATE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=21. STATE MODEL; disposition=KEEP_GOVERNANCE
REQ-00024,SRC-01:P000517,09b1c83d0fc2dac71a8cdac53c3d1e285d48827e7449ca7efe2ed256b98787c5,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""22. GATE SYSTEM"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",CONSTRAINT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=22. GATE SYSTEM; disposition=KEEP_GOVERNANCE
REQ-00025,SRC-01:P000538,3ddea6101ccd037b6bc04a10a273b9835873cfdf95da6a6da9b3e43a0942d1dd,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""23. CLAIM / FALSIFICATION SYSTEM"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=23. CLAIM / FALSIFICATION SYSTEM; disposition=KEEP_GOVERNANCE
REQ-00026,SRC-01:P000552,7191cb5e87bee77043dbaad2691a6102a965f8c8b1e80c346f517e7e5c51ee75,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""24. REPRODUCIBILITY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=24. REPRODUCIBILITY; disposition=KEEP_GOVERNANCE
REQ-00027,SRC-01:P000568,3479ef3a8ba902d4922adabaa30df0be52034784695fe310c02d8fab02f1b4c6,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""25. DEPENDENCY GRAPH"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=25. DEPENDENCY GRAPH; disposition=KEEP_GOVERNANCE
REQ-00028,SRC-01:P000594,0c6891f3001de581682b38aa28690a6c0a9d692be603db0567cab341492b2d0e,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""26. IMPLEMENTATION ORDER"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",PROCESS_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=26. IMPLEMENTATION ORDER; disposition=KEEP_GOVERNANCE
REQ-00029,SRC-01:P000609,b30dd2d175ff2eb232955614aa6203b6a0b68325bb506fe596f69cd2422fd048,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""27. STOP CONDITIONS"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",CONSTRAINT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=27. STOP CONDITIONS; disposition=KEEP_GOVERNANCE
REQ-00030,SRC-01:P000623,c9576ef788713df1e8ca6c2e8ad1faa6aab65bcb26d41e9832b4f93faf7b933f,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""28. IMPLEMENTATION POLICY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",CAPABILITY_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=28. IMPLEMENTATION POLICY; disposition=KEEP_GOVERNANCE
REQ-00031,SRC-01:P000637,00ee3060c6aadc7d7571b2ac791c038dd4b18a15229dcf6cdf62ebc024727755,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""29. VERIFICATION POLICY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",CAPABILITY_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=29. VERIFICATION POLICY; disposition=KEEP_GOVERNANCE
REQ-00032,SRC-01:P000648,ab11e51ed73760a90a68e0719f3a7341c4691a3bbacb2d3e8be4827a96b55694,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""30. FINAL QUALITY GATE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",CONSTRAINT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=30. FINAL QUALITY GATE; disposition=KEEP_GOVERNANCE
REQ-00033,SRC-01:P000650,ee2bda8ce065f4db281827cd13bdddabe898435d404ae2df9412acbedf34b14e,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""Logical integrity"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=Logical integrity; disposition=KEEP_GOVERNANCE
REQ-00034,SRC-01:P000655,a3d346248220b5aec9ab6260c7ded3fb5d41b2a942cbd9880607403e9c01ca21,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""Technical integrity"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=Technical integrity; disposition=KEEP_GOVERNANCE
REQ-00035,SRC-01:P000661,7a499d056b90a52a489c55b4aeaa8440034d19b37835a65867716a157cebb771,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""Scientific integrity"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=Scientific integrity; disposition=KEEP_GOVERNANCE
REQ-00036,SRC-01:P000667,2df74d78d72ef3f43b9de3906a4703b1ad7d9ca1c1c2a357f6d20209e77e07ca,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""Operational integrity"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=Operational integrity; disposition=KEEP_GOVERNANCE
REQ-00037,SRC-01:P000673,c2c554938c208919c5fded09c0ad269ce2c3d9fdb90fbd33af2e670042cadda0,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""Security integrity"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",SECURITY_CONSTRAINT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=Security integrity; disposition=KEEP_GOVERNANCE
REQ-00038,SRC-01:P000678,0ac10f95c56e867aaf4413629adb393d1b44c3f22be79e696e4ba56a44f20c87,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""Autonomy integrity"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=Autonomy integrity; disposition=KEEP_GOVERNANCE
REQ-00039,SRC-01:P000683,8eae22333efecd392bb2d704bc8c9a68b64bfd6801c0716958f448efa06ef8a6,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""31. REQUIRED FINAL DELIVERABLES"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=31. REQUIRED FINAL DELIVERABLES; disposition=KEEP_GOVERNANCE
REQ-00040,SRC-01:P000706,a108ca4217e76c06e39d2e9ef9831e6728be59d7a1ca96c44070bb2d777fe7c0,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""32. CRITICAL ANTI-DRIFT RULE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",CONSTRAINT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=32. CRITICAL ANTI-DRIFT RULE; disposition=KEEP_GOVERNANCE
REQ-00041,SRC-01:P000715,5430799d896c44f34b655728188a1eac948c873bb7929cbb52f6d13bb43fd975,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""33. FINAL DIRECTIVE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=33. FINAL DIRECTIVE; disposition=KEEP_GOVERNANCE
REQ-00042,SRC-01:P000754,78db420ce3c380107d351ff84a5ff39dad6cd23726094c2c2b9d8f1e4ad0fbb8,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""34. INPUT CORPUS"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",CAPABILITY_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=34. INPUT CORPUS; disposition=KEEP_GOVERNANCE
REQ-00043,SRC-01:P000758,19e02b945b952da899b307d00e07be4422bdbcd9b6acecb3dadeced63ea119c7,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""ULTRACODE — MASTER LOGIC AUDIT / COMPLETION / AUTONOMOUS EXECUTION DIRECTIVE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",EVIDENCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=ULTRACODE — MASTER LOGIC AUDIT / COMPLETION / AUTONOMOUS EXECUTION DIRECTIVE; disposition=KEEP_GOVERNANCE
REQ-00044,SRC-01:P000759,ae15a2d885a373c2dc010431b7dad3c3606068d1432a3d620eda1e0d282088b7,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""SOURCE: 1–1110 COMPLETE LOGIC CORPUS"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",CAPABILITY_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=SOURCE: 1–1110 COMPLETE LOGIC CORPUS; disposition=KEEP_GOVERNANCE
REQ-00045,SRC-01:P000760,92dc2fbc2aca3e79af3becbf06cee2ad45fbfc3ca62c67443a703ba897d6a59a,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""TARGET: CLAUDE CODE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=TARGET: CLAUDE CODE; disposition=KEEP_GOVERNANCE
REQ-00046,SRC-01:P000761,1b470a0d90e797b39cc200dfcbd02ea3c907ada5145acf312b8b42adbfaa153e,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""OBJECTIVE: ZERO-GAP ENGINEERING COMPLETION WITHOUT QUALITY REGRESSION"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=OBJECTIVE: ZERO-GAP ENGINEERING COMPLETION WITHOUT QUALITY REGRESSION; disposition=KEEP_GOVERNANCE
REQ-00047,SRC-01:P000762,22d43e5d33d54aa9a6d0440056bb6f60caeec00b63a496f5955c57c22e496bbb,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""0. MISSION"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=0. MISSION; disposition=KEEP_GOVERNANCE
REQ-00048,SRC-01:P000787,6534a791dd6f990d8613ba0aa7faf9e252a89f728ca639ebada267498cb806a3,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""1. NON-NEGOTIABLE QUALITY RULE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=1. NON-NEGOTIABLE QUALITY RULE; disposition=KEEP_GOVERNANCE
REQ-00049,SRC-01:P000811,2bb66a0fa9156ecfbdeb5d29aed0f2d1a9550ac04c5f6448f3455cacb6aa0d6c,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""2. SOURCE OF TRUTH"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",AUTHORITY_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=2. SOURCE OF TRUTH; disposition=KEEP_GOVERNANCE
REQ-00050,SRC-01:P000836,6851b35f3ea23da94696845b74fff4ee21722cb2005ee5ec0915a6631912e653,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""3. FIRST TASK — COMPLETE CORPUS INGESTION"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",CAPABILITY_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=3. FIRST TASK — COMPLETE CORPUS INGESTION; disposition=KEEP_GOVERNANCE
REQ-00051,SRC-01:P000840,dfcfe629122ac06fb359f3d086f909ad9e072b888bdec4c874531ca98e6314ea,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""3.1 Corpus Map"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",CAPABILITY_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=3.1 Corpus Map; disposition=KEEP_GOVERNANCE
REQ-00052,SRC-01:P000854,e8e6f4a6efb6d4e4051d2a830cafe970f55892139538f517a11c32d8cbe8dfce,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""3.2 Concept Graph"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=3.2 Concept Graph; disposition=KEEP_GOVERNANCE
REQ-00053,SRC-01:P000893,4ec21e92c5d14c65a0f65185fad160421765d5b072b42c407b12a8c41a2be75e,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""4. LOGICAL GAP ZERO AUDIT"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",EVIDENCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=4. LOGICAL GAP ZERO AUDIT; disposition=KEEP_GOVERNANCE
REQ-00054,SRC-01:P000895,198b93ca06d231570c72554dc39f5408cd7acbb8cf25e8fc5063c45f8a35475e,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""4.1 Requirement completeness"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=4.1 Requirement completeness; disposition=KEEP_GOVERNANCE
REQ-00055,SRC-01:P000900,22b655884ac980b172bd3f3e591aa60210e3a663839d66c18df56ee190a25077,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""4.2 Dependency completeness"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=4.2 Dependency completeness; disposition=KEEP_GOVERNANCE
REQ-00056,SRC-01:P000904,f3eea58089a5087621caf213266af22dc13c2f8b09966d7817af3155e26ec435,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""4.3 State completeness"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",STATE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=4.3 State completeness; disposition=KEEP_GOVERNANCE
REQ-00057,SRC-01:P000913,c64fd810624bfb43593577dd8fdcecb60079dddc7acd508f2eb0b41678fe5343,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""4.4 Failure completeness"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=4.4 Failure completeness; disposition=KEEP_GOVERNANCE
REQ-00058,SRC-01:P000929,9e253310b181affebedfee0a0203e81e64c9e567c3f0b379fd1db1879f455952,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""5. EVIDENCE ENGINEERING"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",EVIDENCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=5. EVIDENCE ENGINEERING; disposition=KEEP_GOVERNANCE
REQ-00059,SRC-01:P000937,c0fcd76bf44e0ca2f678615e5a6f4032e12eb55bf29e5fc173b29de8e1f11733,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""6. EXPERIMENTAL INTEGRITY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=6. EXPERIMENTAL INTEGRITY; disposition=KEEP_GOVERNANCE
REQ-00060,SRC-01:P000949,fbed9c109205e57d30f57f4242619768835bd753ea56c87b195300d1a68d82c7,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""7. ARTIFACT DURABILITY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=7. ARTIFACT DURABILITY; disposition=KEEP_GOVERNANCE
REQ-00061,SRC-01:P000964,41104a6e4b1358a6318d8fedd4f05c4b0e255a8d9774e5b1a428b4e3876de978,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""8. ATOMICITY / RECOVERY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",STATE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=8. ATOMICITY / RECOVERY; disposition=KEEP_GOVERNANCE
REQ-00062,SRC-01:P000976,689f1d6737e5478936531d3db5e3381f795621961daae0eaca2e742985e3c699,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""9. PROTOCOL IMMUTABILITY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=9. PROTOCOL IMMUTABILITY; disposition=KEEP_GOVERNANCE
REQ-00063,SRC-01:P000987,21304deefccc19304953633deef1b79458d575fd5bb100a8c59864910b6be483,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""10. LEAKAGE / CONTAMINATION AUDIT"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",EVIDENCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=10. LEAKAGE / CONTAMINATION AUDIT; disposition=KEEP_GOVERNANCE
