section_id,source_id,heading,start,end,section_sha256,disposition,rationale
SRC-02B:L000103,SRC-02B,--- STILL UNDECIDED (the one item confirmed NOT uniquely derivable) ---,103,104,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000105,SRC-02B,"ASSUMPTION (McNemar's total discordant-pair proportion, p01+p10) --",105,105,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000106,SRC-02B,"NOT an empirical observation, NOT estimated from any executed run",106,106,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000107,SRC-02B,(Execution=NONE at lock time). Recorded here exactly as the human,107,107,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000108,SRC-02B,"stated it: a pre-fixed statistical design parameter, not evidence of",108,108,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000109,SRC-02B,any VEA effect existing.,109,110,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000111,SRC-02B,human using the standard McNemar sample-size formula from already-,111,111,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000112,SRC-02B,"locked {alpha=0.05, power=0.80, mde=0.10} plus the newly-locked",112,112,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000113,SRC-02B,psi=0.25:,113,113,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000114,SRC-02B,N = (z_alpha + z_beta)^2 * psi / tau^2,114,114,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000115,SRC-02B,= (1.6449 + 0.8416)^2 * 0.25 / 0.10^2,115,115,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000116,SRC-02B,= 154.57  -> ceil -> 155,116,116,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000117,SRC-02B,"Independently re-verified this session (direct computation, not",117,117,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000118,SRC-02B,re-derivation of the formula) -- 155 is the correct ceiling of the,118,118,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000119,SRC-02B,unrounded value for these exact locked inputs. This is a DESIGN,119,119,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000120,SRC-02B,"sample size (fixed a priori, per n_rule=fixed-N), not an observed",120,120,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000121,SRC-02B,count. Do not conflate with source_task_pool's max_attempts=3,121,121,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000122,SRC-02B,"(source-candidate retries, not evaluation instance count).",122,126,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000127,SRC-02B,"Source Agent Identity (Human Decision B, this session)",127,136,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000137,SRC-02B,this environment has exactly one locally-available model (verified live,137,137,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000138,SRC-02B,this session via the Ollama API); no second model exists to satisfy a,138,138,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000139,SRC-02B,fully-independent-model reading of Section 22.,139,152,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000153,SRC-02B,this session -- explicitly IDENTICAL to the Evaluation Agent's already-,153,153,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000154,SRC-02B,"locked system_prompt (same file, same hash). Human Decision's own",154,154,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000155,SRC-02B,"stated rationale: ""The Source Agent must differ only through the",155,155,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000156,SRC-02B,explicitly defined experience-transfer artifact/input. No hidden,156,156,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000157,SRC-02B,"prompt-level treatment difference is permitted.""",157,158,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000159,SRC-02B,LOCKED -- identical to Class-A's value (same file).,159,163,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000164,SRC-02B,"Class C — RQ3-only (DEFERRED_FIRST_RUN, out of first-Freeze minimum by design)",164,172,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000173,SRC-02B,"Execution Budget — `max_local_steps` (Human Decision, this session)",173,189,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000190,SRC-02B,"Thinking Control (Human Decision, this session — Option C)",190,256,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000257,SRC-02B,"Execution Authorization (Human Decision, this session)",257,278,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000279,SRC-02B,"LLM Runtime Identity (Human Decision — VEA-G3-AMEND-001, this session)",279,310,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000311,SRC-02B,How this file changes,311,314,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
